Issue_ID,Student_ID,Book_ID,Issue_Date,Due_Date,Return_Date,Number_of_Days_Issued,Renew_Count,Fine_Amount,Library_Visit_Frequency,Total_Library_Visits,Reading_Duration_Hours,Preferred_Book_Type,Online_Resource_Usage,Late_Return_Count,Librarian_ID,Feedback_Rating,Age,Year_of_Study,Section,Roll_Number,Admission_Year,Semester,CGPA,Attendance_Percentage,Academic_Performance,Scholarship_Status,Hostel_DayScholar,City,State,Book_Title,Author_Name,Publisher,ISBN_Number,Book_Edition,Language,Book_Price,Book_Rack_No,Book_Availability,Damage_Report,Publication_Year,Pages,Country_of_Publication,Days_Late,Library_Engagement_Score,Fine_Per_Day,Gender_Male,Department_Civil,Department_ECE,Department_EEE,Department_ME,Student_Type_Regular,Issue_Status_Returned,Book_Category_Electronics,Book_Category_Math,Book_Category_Mechanical,Book_Category_Programming,Book_Category_Science,Book_Condition_Damaged,Book_Condition_Good,Binding_Type_Paperback,Edition_Type_Revised,Edition_Type_Second,Print_Type_Color,Genre_Reference,Genre_Textbook,Library_Shift_Morning,Transaction_Mode_Online
I3000,S1088,B2025,2025-01-29,2025-02-12,2025-02-18,0.782608695652174,1.0,0.3333333333333333,1,0.6179775280898876,0.9473684210526315,Electronics,0,4,L400,3,0.16666666666666666,2.0,A,7,2021,5,0.5061224489795918,0.925,Average,0,DayScholar,Vizag,AP,Book_25,Author_25,Elsevier,9695455182.0,3.0,Telugu,0.0978441964961882,8.0,0,Major,2019.0,413.0,UK,6,0.616822429906542,1.6666666666666667,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,True,True,False
I3001,S1004,B2010,2025-09-23,2025-10-07,2025-10-07,0.9130434782608695,3.0,0.6666666666666666,6,0.43820224719101125,0.7894736842105263,Math,1,5,L401,1,1.0,1.0,B,70,2021,3,0.6938775510204083,0.6,Excellent,0,Hostel,Hyderabad,AP,Book_10,Author_10,Springer,7841745657.0,5.0,Hindi,0.16689806634018273,36.0,0,Minor,2021.0,767.0,USA,0,0.48598130841121495,0.0,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,True,True,False,True,True
I3002,S1123,B2028,2025-06-12,2025-06-26,2025-06-22,0.30434782608695654,3.0,0.0,7,0.7078651685393258,0.9473684210526315,Science,0,4,L402,4,0.5,2.0,C,56,2023,4,0.6346938775510204,0.475,Good,0,DayScholar,Hyderabad,AP,Book_28,Author_28,Elsevier,6121663120.0,4.0,Hindi,0.7070732569293683,14.0,0,Major,2019.0,450.0,India,0,0.7476635514018691,0.0,False,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False,False,True,False,False,False,False
I3003,S1013,B2154,2025-02-10,2025-02-24,2025-02-23,0.2608695652173913,0.0,0.6666666666666666,5,0.0898876404494382,0.5789473684210527,Mechanical,1,5,L403,1,0.3333333333333333,2.0,A,14,2022,8,0.010204081632653204,0.525,Good,1,DayScholar,Hyderabad,AP,Book_154,Author_154,Springer,3250707755.0,3.0,Hindi,0.35163073660826977,27.0,0,Major,2020.0,765.0,India,0,0.14953271028037382,0.0,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,True,False,False,True
I3004,S1051,B2091,2025-10-18,2025-11-01,2025-10-30,0.17391304347826086,3.0,0.6666666666666666,5,0.550561797752809,0.3684210526315789,Math,0,3,L404,1,0.16666666666666666,3.0,A,49,2024,7,0.19183673469387758,0.6,Good,0,Hostel,Vizag,AP,Book_91,Author_91,Pearson,1365222024.0,4.0,English,0.8041349018023931,47.0,1,Major,2018.0,591.0,India,0,0.4953271028037383,0.0,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True
I3005,S1051,B2038,2025-03-22,2025-04-05,2025-04-10,0.7391304347826086,1.0,0.3333333333333333,1,0.9101123595505618,0.3157894736842105,Science,0,3,L405,4,0.16666666666666666,3.0,A,49,2024,7,0.19183673469387758,0.6,Good,0,Hostel,Vizag,AP,Book_38,Author_38,McGraw Hill,8353939742.0,4.0,English,0.17885091129398697,10.0,1,Major,2022.0,484.0,UK,5,0.7476635514018691,2.0,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True
I3006,S1039,B2078,2025-08-13,2025-08-27,2026-01-02,0.5217391304347826,1.0,0.6666666666666666,8,0.7415730337078652,0.21052631578947367,Electronics,0,3,L406,1,1.0,3.0,C,64,2022,8,0.640816326530612,0.925,Poor,1,DayScholar,Vizag,AP,Book_78,Author_78,Pearson,1451098414.0,5.0,Telugu,0.356931892765184,14.0,1,Major,2020.0,479.0,USA,128,0.6542056074766355,0.15625,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True
I3007,S1009,B2081,2025-01-23,2025-02-06,2025-02-09,0.08695652173913043,3.0,0.6666666666666666,3,0.23595505617977527,0.10526315789473684,Programming,0,5,L407,2,0.5,2.0,A,24,2024,4,0.6224489795918365,0.425,Average,1,Hostel,Hyderabad,AP,Book_81,Author_81,Elsevier,3834498624.0,2.0,Hindi,0.6748371787751805,10.0,0,Major,2024.0,623.0,USA,3,0.16822429906542055,6.666666666666667,True,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,True,True,False
I3008,S1174,B2002,2025-12-17,2025-12-31,2026-01-02,0.5652173913043478,0.0,0.6666666666666666,8,0.39325842696629215,0.9473684210526315,Science,0,5,L408,1,0.8333333333333334,4.0,A,14,2022,6,0.3020408163265306,0.6,Poor,1,Hostel,Hyderabad,AP,Book_2,Author_2,Springer,3543654857.0,4.0,English,0.7337304993184227,15.0,0,Major,2023.0,790.0,India,2,0.4953271028037383,10.0,True,False,True,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False
I3009,S1033,B2147,2025-12-07,2025-12-21,2026-01-02,0.5217391304347826,1.0,0.0,7,0.11235955056179775,0.3684210526315789,Mechanical,1,3,L409,2,0.5,1.0,C,46,2022,2,0.9142857142857139,0.425,Average,0,Hostel,Vizag,AP,Book_147,Author_147,Oxford,8866589565.0,5.0,Telugu,0.0763871358610592,42.0,0,Major,2019.0,346.0,India,12,0.14953271028037382,0.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
I3010,S1117,B2090,2025-09-05,2025-09-19,2026-01-02,0.6956521739130435,0.0,0.3333333333333333,1,0.33707865168539325,0.7368421052631579,Mechanical,0,0,L410,4,0.3333333333333333,3.0,A,2,2022,8,0.5918367346938774,0.125,Poor,0,DayScholar,Rajahmundry,AP,Book_90,Author_90,McGraw Hill,3405630947.0,1.0,English,0.8629020043418993,42.0,1,Minor,2023.0,713.0,USA,105,0.34579439252336447,0.09523809523809523,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
I3011,S1034,B2095,2025-03-27,2025-04-10,2025-04-06,0.6086956521739131,1.0,0.0,7,0.2247191011235955,0.631578947368421,Electronics,1,1,L411,4,0.6666666666666666,3.0,B,69,2021,7,0.48775510204081635,0.025,Average,1,DayScholar,Vizag,AP,Book_95,Author_95,Elsevier,9974991511.0,2.0,English,0.42049527944666026,12.0,0,Major,2022.0,226.0,USA,0,0.2897196261682243,0.0,False,True,False,False,False,True,True,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False
I3012,S1130,B2004,2025-09-08,2025-09-22,2025-09-26,0.0,0.0,0.3333333333333333,5,0.9550561797752809,0.7894736842105263,Electronics,0,2,L412,2,0.6666666666666666,1.0,B,2,2021,6,0.40204081632653066,0.55,Good,1,DayScholar,Vijayawada,AP,Book_4,Author_4,McGraw Hill,7435642985.0,5.0,Hindi,0.041576210430655826,50.0,1,Major,2024.0,433.0,USA,4,0.9065420560747663,2.5,False,False,False,False,True,False,True,True,False,False,False,False,False,True,True,False,True,False,True,False,True,False
I3013,S1056,B2036,2025-01-14,2025-01-28,2025-01-24,0.8260869565217391,1.0,0.0,4,0.5056179775280899,0.15789473684210525,Science,1,4,L413,1,0.3333333333333333,2.0,A,62,2024,4,0.6612244897959184,0.35,Average,0,Hostel,Vijayawada,AP,Book_36,Author_36,Elsevier,8475532324.0,1.0,Hindi,0.0,11.0,1,Major,2018.0,143.0,USA,0,0.411214953271028,0.0,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False
I3014,S1045,B2093,2025-11-29,2025-12-13,2025-12-12,0.8260869565217391,0.0,1.0,6,0.5617977528089888,0.42105263157894735,Civil,0,0,L414,4,0.3333333333333333,1.0,C,7,2022,4,0.16326530612244908,0.725,Good,0,DayScholar,Vijayawada,AP,Book_93,Author_93,Oxford,3294906878.0,4.0,Hindi,0.9343540162568789,14.0,0,Major,2019.0,229.0,India,0,0.5233644859813084,0.0,False,False,False,False,False,True,True,True,False,False,False,False,False,True,True,True,False,True,False,True,True,True
I3015,S1046,B2011,2025-01-03,2025-01-17,2026-01-02,1.0,3.0,0.3333333333333333,9,0.10112359550561797,0.631578947368421,Math,0,4,L415,4,0.5,4.0,A,12,2024,6,0.12448979591836738,0.65,Average,0,Hostel,Vizag,AP,Book_11,Author_11,Springer,6634271326.0,1.0,Hindi,0.26111980612914626,7.0,0,Major,2021.0,612.0,India,350,0.205607476635514,0.02857142857142857,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True
I3016,S1053,B2005,2025-07-10,2025-07-24,2025-07-20,0.6956521739130435,1.0,0.6666666666666666,4,0.7415730337078652,0.9473684210526315,Science,1,2,L416,4,0.16666666666666666,4.0,B,22,2021,8,0.7897959183673467,0.325,Poor,1,DayScholar,Rajahmundry,AP,Book_5,Author_5,McGraw Hill,5961857822.0,2.0,Hindi,0.39162922199222494,29.0,0,Major,2019.0,733.0,USA,0,0.7476635514018691,0.0,True,False,True,False,False,True,True,False,True,False,False,False,True,False,False,True,False,True,False,False,True,True
I3017,S1123,B2114,2025-06-11,2025-06-25,2026-01-02,0.17391304347826086,0.0,0.3333333333333333,3,0.19101123595505617,1.0,Math,0,5,L417,1,0.5,2.0,C,56,2023,4,0.6346938775510204,0.475,Good,0,DayScholar,Hyderabad,AP,Book_114,Author_114,McGraw Hill,7127607333.0,1.0,English,0.9447417579643561,29.0,0,Major,2020.0,450.0,UK,191,0.2897196261682243,0.05235602094240838,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False
I3018,S1096,B2050,2025-08-27,2025-09-10,2025-09-08,0.782608695652174,2.0,0.3333333333333333,1,0.4606741573033708,0.15789473684210525,Electronics,0,3,L418,4,0.6666666666666666,3.0,A,25,2021,5,0.23061224489795928,0.625,Good,1,Hostel,Hyderabad,AP,Book_50,Author_50,McGraw Hill,2441876174.0,3.0,Telugu,0.4445019437572575,7.0,0,Major,2022.0,674.0,USA,0,0.34579439252336447,0.0,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
I3019,S1006,B2084,2025-12-22,2026-01-05,2026-01-08,0.30434782608695654,3.0,0.0,7,0.6067415730337079,0.10526315789473684,Mechanical,1,2,L419,5,0.3333333333333333,3.0,A,63,2021,8,0.720408163265306,0.6,Average,0,DayScholar,Vizag,AP,Book_84,Author_84,Springer,3134825194.0,4.0,Hindi,0.07407734639268945,48.0,0,Major,2023.0,417.0,India,3,0.514018691588785,0.0,True,False,True,False,False,True,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True
I3020,S1075,B2132,2025-02-19,2025-03-05,2025-03-07,0.5217391304347826,0.0,0.6666666666666666,2,0.9775280898876404,0.7894736842105263,Programming,0,3,L420,5,0.0,2.0,C,68,2023,2,0.8142857142857143,0.075,Good,0,Hostel,Vijayawada,AP,Book_132,Author_132,Oxford,4897662039.0,2.0,Telugu,0.3799035694451457,2.0,1,Major,2021.0,684.0,UK,2,0.897196261682243,10.0,False,False,False,False,False,True,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
I3021,S1057,B2057,2025-10-07,2025-10-21,2025-10-21,0.2608695652173913,2.0,0.6666666666666666,7,0.6404494382022472,0.2631578947368421,Programming,1,3,L421,1,1.0,2.0,C,69,2022,3,0.089795918367347,0.475,Good,0,DayScholar,Rajahmundry,AP,Book_57,Author_57,McGraw Hill,9705838512.0,2.0,Hindi,0.17828293027717473,44.0,1,Minor,2018.0,495.0,USA,0,0.5700934579439252,0.0,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,False,True,False,True
I3022,S1045,B2050,2025-04-25,2025-05-09,2025-05-05,0.782608695652174,0.0,0.6666666666666666,10,0.7191011235955056,0.8947368421052632,Math,1,4,L422,4,0.3333333333333333,1.0,C,7,2022,4,0.16326530612244908,0.725,Good,0,DayScholar,Vijayawada,AP,Book_50,Author_50,McGraw Hill,2441876174.0,3.0,Telugu,0.4445019437572575,7.0,0,Major,2022.0,674.0,USA,0,0.7757009345794392,0.0,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
I3023,S1091,B2007,2025-03-18,2025-04-01,2025-04-05,0.5217391304347826,0.0,0.3333333333333333,7,0.0449438202247191,0.2631578947368421,Programming,0,0,L423,4,0.6666666666666666,4.0,C,47,2022,7,0.8469387755102041,0.05,Average,1,Hostel,Hyderabad,AP,Book_7,Author_7,Elsevier,4660065612.0,5.0,English,0.514742262836371,37.0,0,Major,2020.0,650.0,USA,4,0.07476635514018691,2.5,False,False,False,False,True,True,True,False,True,False,False,False,True,False,False,False,True,True,True,False,True,False
I3024,S1102,B2106,2025-08-30,2025-09-13,2026-01-02,0.13043478260869565,1.0,0.3333333333333333,1,0.550561797752809,0.8947368421052632,Science,0,2,L424,1,0.0,1.0,B,30,2024,7,0.20408163265306117,0.6,Excellent,1,Hostel,Hyderabad,AP,Book_106,Author_106,Elsevier,3478132167.0,1.0,English,0.13810773968798903,42.0,1,Minor,2019.0,751.0,USA,111,0.5514018691588785,0.09009009009009009,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,True
I3025,S1146,B2121,2025-06-08,2025-06-22,2025-06-23,0.391304347826087,0.0,1.0,10,0.7415730337078652,0.8421052631578947,Science,1,2,L425,4,1.0,2.0,A,3,2022,2,0.6387755102040814,0.125,Excellent,0,Hostel,Vizag,AP,Book_121,Author_121,Elsevier,8447620940.0,1.0,Telugu,0.16624173272075526,27.0,1,Major,2021.0,187.0,India,1,0.7850467289719626,30.0,False,False,False,False,True,True,True,True,False,False,False,False,True,False,True,True,False,True,False,True,False,False
I3026,S1096,B2044,2025-01-21,2025-02-04,2025-02-05,0.391304347826087,3.0,0.0,8,0.6404494382022472,0.10526315789473684,Science,1,3,L426,4,0.6666666666666666,3.0,A,25,2021,5,0.23061224489795928,0.625,Good,1,Hostel,Hyderabad,AP,Book_44,Author_44,Elsevier,4874631168.0,2.0,Hindi,0.30913313475034077,21.0,0,Minor,2023.0,233.0,UK,1,0.5514018691588785,0.0,False,False,True,False,False,False,True,False,False,False,False,True,True,False,True,False,False,True,True,False,True,False
I3027,S1000,B2107,2025-02-06,2025-02-20,2025-02-23,0.782608695652174,3.0,1.0,9,0.6966292134831461,0.8947368421052632,Programming,1,2,L427,2,0.0,2.0,C,26,2024,6,0.3387755102040816,0.4,Average,0,DayScholar,Hyderabad,AP,Book_107,Author_107,Springer,2009527625.0,5.0,Hindi,0.4304665017418084,32.0,0,Major,2021.0,401.0,USA,3,0.7476635514018691,10.0,False,False,True,False,False,True,True,False,True,False,False,False,False,False,True,False,True,True,False,False,False,False
I3028,S1111,B2003,2025-12-17,2025-12-31,2026-01-05,0.5217391304347826,1.0,0.0,9,0.8314606741573034,0.15789473684210525,Civil,0,4,L428,3,0.16666666666666666,4.0,C,37,2022,6,0.0,0.6,Poor,0,Hostel,Rajahmundry,AP,Book_3,Author_3,Oxford,7306513296.0,4.0,English,0.9201797344373202,3.0,1,Major,2018.0,179.0,USA,5,0.7289719626168224,0.0,False,False,False,False,True,False,True,False,True,False,False,False,True,False,True,True,False,True,False,True,False,False
I3029,S1025,B2053,2025-08-29,2025-09-12,2025-09-13,0.9565217391304348,0.0,0.6666666666666666,1,0.9775280898876404,0.0,Programming,0,1,L429,1,0.5,3.0,A,7,2022,4,0.5612244897959182,0.825,Good,1,DayScholar,Vizag,AP,Book_53,Author_53,Pearson,9394670898.0,4.0,Telugu,0.6886454283839047,33.0,1,Minor,2020.0,106.0,USA,1,0.7476635514018691,20.0,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,True
I3030,S1140,B2078,2025-05-27,2025-06-10,2025-06-15,0.6086956521739131,3.0,0.6666666666666666,5,0.8089887640449438,0.631578947368421,Science,1,1,L430,5,0.5,4.0,A,68,2024,5,0.720408163265306,0.9,Poor,1,Hostel,Rajahmundry,AP,Book_78,Author_78,Pearson,1451098414.0,5.0,Telugu,0.356931892765184,14.0,1,Major,2020.0,479.0,USA,5,0.7570093457943925,4.0,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True
I3031,S1126,B2094,2025-05-28,2025-06-11,2025-06-10,1.0,0.0,1.0,6,0.2247191011235955,0.5789473684210527,Science,1,0,L431,4,0.3333333333333333,4.0,B,69,2022,5,0.07142857142857152,0.775,Average,0,DayScholar,Rajahmundry,AP,Book_94,Author_94,Pearson,7377021872.0,2.0,English,0.8413313475034079,39.0,0,Major,2020.0,553.0,India,0,0.27102803738317754,0.0,True,False,True,False,False,True,True,False,False,False,False,True,True,False,True,True,False,True,False,False,False,False
I3032,S1150,B2140,2025-03-14,2025-03-28,2025-03-24,0.8695652173913043,1.0,0.0,7,0.4157303370786517,1.0,Programming,0,4,L432,2,0.6666666666666666,4.0,A,14,2022,3,0.7693877551020407,0.375,Good,0,DayScholar,Vijayawada,AP,Book_140,Author_140,Oxford,5383521787.0,4.0,Telugu,0.6439390114605947,26.0,1,Major,2021.0,489.0,UK,0,0.514018691588785,0.0,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,True,True,False,True,False,False
I3033,S1047,B2023,2025-07-05,2025-07-19,2025-07-23,0.17391304347826086,0.0,1.0,3,0.6179775280898876,0.2631578947368421,Science,0,0,L433,3,0.0,1.0,A,79,2024,7,0.2510204081632653,0.475,Poor,0,DayScholar,Vijayawada,AP,Book_23,Author_23,Oxford,6995891173.0,2.0,English,0.8555939819255819,36.0,1,Major,2023.0,373.0,USA,4,0.514018691588785,7.5,False,False,False,False,True,False,True,True,False,False,False,False,False,True,False,True,False,True,False,True,False,False
I3034,S1071,B2036,2025-10-09,2025-10-23,2025-10-22,0.21739130434782608,3.0,0.6666666666666666,5,0.3707865168539326,0.7368421052631579,Math,0,1,L434,5,0.8333333333333334,3.0,A,55,2024,6,0.5959183673469388,0.925,Good,0,Hostel,Hyderabad,AP,Book_36,Author_36,Elsevier,8475532324.0,1.0,Hindi,0.0,11.0,1,Major,2018.0,143.0,USA,0,0.411214953271028,0.0,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True
I3035,S1051,B2048,2025-12-19,2026-01-02,2026-01-02,0.17391304347826086,3.0,1.0,8,0.6404494382022472,0.3157894736842105,Civil,0,3,L435,5,0.16666666666666666,3.0,A,49,2024,7,0.19183673469387758,0.6,Good,0,Hostel,Vizag,AP,Book_48,Author_48,McGraw Hill,8614295240.0,2.0,Telugu,0.20979956581006712,26.0,1,Minor,2022.0,558.0,UK,0,0.5887850467289719,0.0,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,True,True,False,False,True
